epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,1869.23,1.11766,0.78028,0.01692,0.83479,0.87061,0.88549,0.65691,1.10996,0.48518,0.02531,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,1912.31,1.12059,0.76814,0.01688,0.87109,0.77709,0.87051,0.63597,1.10243,0.47945,0.02505,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,1955.93,1.10791,0.75157,0.0168,0.88814,0.84873,0.89679,0.65177,1.10135,0.49328,0.02521,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,1999.32,1.10198,0.77639,0.01688,0.88964,0.82543,0.8865,0.64967,1.09736,0.49852,0.02489,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,2042.45,1.11138,0.76958,0.01692,0.83733,0.83342,0.88285,0.6427,1.1026,0.49415,0.02518,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,2086.02,1.09456,0.74615,0.01666,0.91425,0.8367,0.90741,0.66653,1.09683,0.46004,0.02491,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,2129.27,1.09324,0.7328,0.0166,0.87841,0.82705,0.89945,0.67674,1.09087,0.47678,0.02484,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,2172.69,1.08827,0.73169,0.01667,0.92143,0.78802,0.90583,0.67324,1.0884,0.46225,0.0249,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2216.86,1.07749,0.73148,0.01646,0.85843,0.88636,0.90227,0.66763,1.08046,0.45187,0.02446,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,2259.86,1.097,0.74158,0.01665,0.93246,0.81371,0.90365,0.66677,1.0822,0.45529,0.02473,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
